Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Sales180Day,Positive Feedback,Promotion Url,Sent
https://ae-pic-a1.aliexpress-media.com/kf/Sdfbc29d0bdde4ac48713b68d344043102.jpg,,KAILAS Merino Wool Socks Unisex Lightweight Seamless Comfortable COOLMAX Yarn Keep Dry Trekking Hiking Socks KH2401002,USD 27.35,USD 21.45,21%,31,100.0%,https://s.click.aliexpress.com/e/_oBHjKs9,No
https://ae-pic-a1.aliexpress-media.com/kf/S633571c29e12447896e50089ffda404aa.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/243589856/p/1/e/6/t/10301/1100098247689.mp4,Motorcycle 28mm 22mm Handlebar Protection Handguard Handle Bar Hand Guards For HONDA KTM SUZUKI KAWASAKI YAMAHA CR EXC YZF WRF,USD 32.07,USD 25.66,20%,294,96.0%,https://s.click.aliexpress.com/e/_ooJFgPb,No
https://ae-pic-a1.aliexpress-media.com/kf/S8d84c609599648cf9223a5c8ec994cb59.jpg,,For Ultrabee Original Front Mudguards Motorcycle Accessories Mudguard Fender Set for Ultrabee Ultra Bee Off-Road Electric Bike,USD 23.41,USD 18.73,20%,32,95.0%,https://s.click.aliexpress.com/e/_oDecw1r,No
https://ae-pic-a1.aliexpress-media.com/kf/Sa68694bce37f47979ac54c8ff69e3303E.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/230497754/p/1/e/6/t/10301/1100206986873.mp4,Tactical Chest Bags Hunting Vest Outdoor Camping Shoulder Backpack Men Motorcycle Bag Cycling Climbing Belly Fanny Pack Bike,USD 38.34,USD 30.67,20%,103,96.7%,https://s.click.aliexpress.com/e/_oDgJ68d,No
https://ae-pic-a1.aliexpress-media.com/kf/S9c6274ec399a4c4c8829a9424874143ds.jpg,,Socks Silicone Summer Aero Anti Whiteline Cycling Socks Slip Men Bicycle Sport Running Bike Socks Calcetines,USD 2.72,USD 2.22,18%,325,95.9%,https://s.click.aliexpress.com/e/_okwqmHf,No
https://ae-pic-a1.aliexpress-media.com/kf/Sb3a3d08fb85743a29a1c80d9602ed0ceR.jpg,,Aero New Team Pro Anti Socks Slip Silicone Cycling Socks Men Bicycle Sport Running Bike Socks Calcetines Ciclismo,USD 2.73,USD 2.23,18%,328,96.4%,https://s.click.aliexpress.com/e/_opzCaA1,No
https://ae-pic-a1.aliexpress-media.com/kf/S7b2516a363844a95a31991fda266dc57G.png,,White Black Stripes Football Soccer Socks For Men Teenages Kids Boys Over the Calf Baseball Rugby Athletic Socks Women Girls,USD 2.75,USD 2.25,18%,997,95.9%,https://s.click.aliexpress.com/e/_op2ByFL,No
https://ae-pic-a1.aliexpress-media.com/kf/S84d3f318c6174bb9bf4054400cffdbedZ.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2664338676/p/1/e/6/t/10301/1100028746812.mp4,Electric Scooter Tire 10 Inch 80/65-6 10X3.0 Tyre for Inokim oxo Kugoo M4 G1 Dualtron VICTOR EAGLE Speedway 4 Zero 10X Bike,USD 3.82,USD 3.12,18%,441,92.7%,https://s.click.aliexpress.com/e/_oCAE3q9,No
https://ae-pic-a1.aliexpress-media.com/kf/S73a0e9684a5d45669c4ccc44bf01fa618.jpg,,150 PSI Portable Pocket Bike Pump Electric Air Pump Rechargeable Compressor Tire Inflator For Bicycle Tire with Digital Gauge,USD 32.02,USD 26.17,18%,320,95.9%,https://s.click.aliexpress.com/e/_oCxg0ZR,No
https://ae-pic-a1.aliexpress-media.com/kf/S5bc2d18e90874c23a8dd153ac17763fcl.png,,White Black Stripes Football Soccer Socks For Men Teenages Kids Boys Over the Calf Baseball Rugby Athletic Socks Women Girls,USD 2.83,USD 2.33,17%,370,97.1%,https://s.click.aliexpress.com/e/_omOLk2D,No
